iter	Passed	Remaining
791	13221	3472
792	13240	3456
793	13257	3439
794	13273	3422
795	13279	3403
796	13299	3387
797	13317	3370
798	13326	3352
799	13343	3335
800	13360	3319
801	13377	3302
802	13393	3285
803	13410	3269
804	13427	3252
805	13443	3235
806	13459	3218
807	13476	3202
808	13494	3185
809	13510	3169
810	13527	3152
811	13544	3135
812	13560	3119
813	13577	3102
814	13593	3085
815	13610	3068
816	13629	3052
817	13647	3036
818	13665	3020
819	13680	3003
820	13696	2986
821	13714	2969
822	13731	2953
823	13748	2936
824	13764	2919
825	13781	2903
826	13798	2886
827	13814	2869
828	13831	2853
829	13848	2836
830	13867	2820
831	13885	2803
832	13900	2786
833	13916	2769
834	13933	2753
835	13950	2736
836	13968	2720
837	13985	2703
838	14004	2687
839	14021	2670
840	14052	2656
841	14069	2640
842	14084	2623
843	14103	2606
844	14120	2590
845	14137	2573
846	14154	2556
847	14170	2540
848	14187	2523
849	14203	2506
850	14221	2490
851	14238	2473
852	14257	2457
853	14274	2440
854	14291	2423
855	14307	2406
856	14324	2390
857	14341	2373
858	14357	2356
859	14375	2340
860	14391	2323
861	14409	2306
862	14426	2290
863	14442	2273
864	14457	2256
865	14478	2240
866	14495	2223
867	14512	2207
868	14529	2190
869	14549	2174
870	14567	2157
871	14583	2140
872	14599	2123
873	14615	2107
874	14624	2089
875	14640	2072
876	14657	2055
877	14674	2039
878	14690	2022
879	14707	2005
880	14724	1988
881	14740	1972
882	14757	1955
883	14776	1938
884	14792	1922
885	14810	1905
886	14826	1888
887	14841	1871
888	14859	1855
889	14876	1838
890	14893	1821
891	14912	1805
892	14929	1788
893	14947	1772
894	14964	1755
895	14981	1738
896	14999	1722
897	15016	1705
898	15038	1689
899	15057	1673
900	15076	1656
901	15092	1639
902	15109	1623
903	15125	1606
904	15143	1589
905	15160	1572
906	15177	1556
907	15193	1539
908	15211	1522
909	15228	1506
910	15244	1489
911	15262	1472
912	15278	1455
913	15295	1439
914	15311	1422
915	15332	1406
916	15350	1389
917	15366	1372
918	15383	1355
919	15401	1339
920	15419	1322
921	15435	1305
922	15451	1289
923	15469	1272
924	15486	1255
925	15503	1238
926	15520	1222
927	15537	1205
928	15553	1188
929	15570	1171
930	15586	1155
931	15603	1138
932	15620	1121
933	15646	1105
934	15663	1088
935	15681	1072
936	15698	1055
937	15715	1038
938	15732	1022
939	15751	1005
940	15768	988
941	15784	971
942	15801	955
943	15819	938
944	15837	921
945	15854	905
946	15871	888
947	15889	871
948	15909	855
949	15926	838
950	15943	821
951	15960	804
952	15975	787
953	15991	771
954	16007	754
955	16024	737
956	16041	720
957	16058	704
958	16075	687
959	16090	670
960	16107	653
961	16124	636
962	16140	620
963	16158	603
964	16174	586
965	16191	569
966	16210	553
967	16228	536
968	16245	519
969	16262	502
970	16279	486
971	16296	469
972	16311	452
973	16329	435
974	16355	419
975	16372	402
976	16389	385
977	16405	369
978	16422	352
979	16440	335
980	16457	318
981	16473	301
982	16490	285
983	16507	268
984	16523	251
985	16540	234
986	16556	218
987	16574	201
988	16593	184
989	16612	167
990	16630	151
991	16645	134
992	16662	117
993	16680	100
994	16695	83
995	16713	67
996	16729	50
997	16746	33
998	16763	16
999	16779	0
